avgTemp,avgTempRange,avgHumidity,avgHumidityRange,durationDays,brix,pol,purity,actualRendement,baseRen
30.0,29-31,50.0,40-60,4,18.3,14.78,80.77,6.81,7.41
30.0,29-31,70.0,61-80,2,18.3,14.78,80.77,7.48,7.41
30.0,29-31,70.0,61-80,3,18.3,14.78,80.77,7.13,7.41
30.0,29-31,70.0,61-80,4,18.3,14.78,80.77,6.77,7.41
30.0,29-31,90.0,81-100,2,18.3,14.78,80.77,7.32,7.41
30.0,29-31,90.0,81-100,3,18.3,14.78,80.77,7.08,7.41
30.0,29-31,90.0,81-100,4,18.3,14.78,80.77,6.74,7.41
33.5,32-35,50.0,40-60,2,18.3,14.78,80.77,7.17,7.41
33.5,32-35,50.0,40-60,3,18.3,14.78,80.77,6.92,7.41
33.5,32-35,50.0,40-60,4,18.3,14.78,80.77,6.54,7.41
33.5,32-35,70.0,61-80,2,18.3,14.78,80.77,7.18,7.41
33.5,32-35,70.0,61-80,3,18.3,14.78,80.77,6.84,7.41
33.5,32-35,70.0,61-80,4,18.3,14.78,80.77,6.54,7.41
33.5,32-35,90.0,81-100,2,18.3,14.78,80.77,7.08,7.41
33.5,32-35,90.0,81-100,3,18.3,14.78,80.77,6.83,7.41
33.5,32-35,90.0,81-100,4,18.3,14.78,80.77,6.4,7.41
24.0,23-25,50.0,40-60,2,17.3,14.46,83.58,7.96,7.5
24.0,23-25,50.0,40-60,3,17.3,14.46,83.58,7.64,7.5
24.0,23-25,50.0,40-60,4,17.3,14.46,83.58,7.37,7.5
24.0,23-25,70.0,61-80,2,17.3,14.46,83.58,7.97,7.5
24.0,23-25,70.0,61-80,3,17.3,14.46,83.58,7.61,7.5
24.0,23-25,70.0,61-80,4,17.3,14.46,83.58,7.3,7.5
24.0,23-25,90.0,81-100,2,17.3,14.46,83.58,7.88,7.5
24.0,23-25,90.0,81-100,3,17.3,14.46,83.58,7.56,7.5
24.0,23-25,90.0,81-100,4,17.3,14.46,83.58,7.2,7.5
27.0,26-28,50.0,40-60,2,17.3,14.46,83.58,7.8,7.5
27.0,26-28,50.0,40-60,3,17.3,14.46,83.58,7.49,7.5
27.0,26-28,50.0,40-60,4,17.3,14.46,83.58,7.22,7.5
27.0,26-28,70.0,61-80,2,17.3,14.46,83.58,7.82,7.5
27.0,26-28,70.0,61-80,3,17.3,14.46,83.58,7.49,7.5
27.0,26-28,70.0,61-80,4,17.3,14.46,83.58,7.11,7.5
27.0,26-28,90.0,81-100,2,17.3,14.46,83.58,7.68,7.5
27.0,26-28,90.0,81-100,3,17.3,14.46,83.58,7.42,7.5
27.0,26-28,90.0,81-100,4,17.3,14.46,83.58,7.09,7.5
30.0,29-31,50.0,40-60,2,17.3,14.46,83.58,7.63,7.5
30.0,29-31,50.0,40-60,3,17.3,14.46,83.58,7.32,7.5
30.0,29-31,50.0,40-60,4,17.3,14.46,83.58,6.95,7.5
30.0,29-31,70.0,61-80,2,17.3,14.46,83.58,7.5,7.5
30.0,29-31,70.0,61-80,3,17.3,14.46,83.58,7.21,7.5
30.0,29-31,70.0,61-80,4,17.3,14.46,83.58,6.93,7.5
30.0,29-31,90.0,81-100,2,17.3,14.46,83.58,7.47,7.5
30.0,29-31,90.0,81-100,3,17.3,14.46,83.58,7.11,7.5
30.0,29-31,90.0,81-100,4,17.3,14.46,83.58,6.77,7.5
33.5,32-35,50.0,40-60,2,17.3,14.46,83.58,7.33,7.5
33.5,32-35,50.0,40-60,3,17.3,14.46,83.58,6.96,7.5
33.5,32-35,50.0,40-60,4,17.3,14.46,83.58,6.63,7.5
33.5,32-35,70.0,61-80,2,17.3,14.46,83.58,7.26,7.5
33.5,32-35,70.0,61-80,3,17.3,14.46,83.58,6.98,7.5
33.5,32-35,70.0,61-80,4,17.3,14.46,83.58,6.63,7.5
33.5,32-35,90.0,81-100,2,17.3,14.46,83.58,7.15,7.5
33.5,32-35,90.0,81-100,3,17.3,14.46,83.58,6.9,7.5
33.5,32-35,90.0,81-100,4,17.3,14.46,83.58,6.5,7.5
24.0,23-25,50.0,40-60,2,17.3,14.62,84.51,8.15,7.69
24.0,23-25,50.0,40-60,3,17.3,14.62,84.51,7.89,7.69
24.0,23-25,50.0,40-60,4,17.3,14.62,84.51,7.53,7.69
24.0,23-25,70.0,61-80,2,17.3,14.62,84.51,8.15,7.69
24.0,23-25,70.0,61-80,3,17.3,14.62,84.51,7.84,7.69
24.0,23-25,70.0,61-80,4,17.3,14.62,84.51,7.48,7.69
24.0,23-25,90.0,81-100,2,17.3,14.62,84.51,8.0,7.69
24.0,23-25,90.0,81-100,3,17.3,14.62,84.51,7.73,7.69
24.0,23-25,90.0,81-100,4,17.3,14.62,84.51,7.37,7.69
27.0,26-28,50.0,40-60,2,17.3,14.62,84.51,7.99,7.69
27.0,26-28,50.0,40-60,3,17.3,14.62,84.51,7.77,7.69
27.0,26-28,50.0,40-60,4,17.3,14.62,84.51,7.36,7.69
27.0,26-28,70.0,61-80,2,17.3,14.62,84.51,8.01,7.69
27.0,26-28,70.0,61-80,3,17.3,14.62,84.51,7.68,7.69
27.0,26-28,70.0,61-80,4,17.3,14.62,84.51,7.35,7.69
27.0,26-28,90.0,81-100,2,17.3,14.62,84.51,7.89,7.69
27.0,26-28,90.0,81-100,3,17.3,14.62,84.51,7.6,7.69
27.0,26-28,90.0,81-100,4,17.3,14.62,84.51,7.24,7.69
30.0,29-31,50.0,40-60,2,17.3,14.62,84.51,7.75,7.69
30.0,29-31,50.0,40-60,3,17.3,14.62,84.51,7.5,7.69
30.0,29-31,50.0,40-60,4,17.3,14.62,84.51,7.11,7.69
30.0,29-31,70.0,61-80,2,17.3,14.62,84.51,7.68,7.69
30.0,29-31,70.0,61-80,3,17.3,14.62,84.51,7.44,7.69
30.0,29-31,70.0,61-80,4,17.3,14.62,84.51,7.05,7.69
30.0,29-31,90.0,81-100,2,17.3,14.62,84.51,7.69,7.69
30.0,29-31,90.0,81-100,3,17.3,14.62,84.51,7.4,7.69
30.0,29-31,90.0,81-100,4,17.3,14.62,84.51,7.04,7.69
33.5,32-35,50.0,40-60,2,17.3,14.62,84.51,7.49,7.69
33.5,32-35,50.0,40-60,3,17.3,14.62,84.51,7.15,7.69
33.5,32-35,50.0,40-60,4,17.3,14.62,84.51,6.89,7.69
33.5,32-35,70.0,61-80,2,17.3,14.62,84.51,7.44,7.69
33.5,32-35,70.0,61-80,3,17.3,14.62,84.51,7.2,7.69
33.5,32-35,70.0,61-80,4,17.3,14.62,84.51,6.85,7.69
33.5,32-35,90.0,81-100,2,17.3,14.62,84.51,7.41,7.69
33.5,32-35,90.0,81-100,3,17.3,14.62,84.51,7.05,7.69
33.5,32-35,90.0,81-100,4,17.3,14.62,84.51,6.71,7.69
24.0,23-25,50.0,40-60,2,16.7,13.92,83.35,7.67,7.15
24.0,23-25,50.0,40-60,3,16.7,13.92,83.35,7.31,7.15
24.0,23-25,50.0,40-60,4,16.7,13.92,83.35,6.95,7.15
24.0,23-25,70.0,61-80,2,16.7,13.92,83.35,7.59,7.15
24.0,23-25,70.0,61-80,3,16.7,13.92,83.35,7.32,7.15
24.0,23-25,70.0,61-80,4,16.7,13.92,83.35,6.95,7.15
24.0,23-25,90.0,81-100,2,16.7,13.92,83.35,7.51,7.15
24.0,23-25,90.0,81-100,3,16.7,13.92,83.35,7.16,7.15
24.0,23-25,90.0,81-100,4,16.7,13.92,83.35,6.86,7.15
27.0,26-28,50.0,40-60,2,16.7,13.92,83.35,7.53,7.15
27.0,26-28,50.0,40-60,3,16.7,13.92,83.35,7.14,7.15
27.0,26-28,50.0,40-60,4,16.7,13.92,83.35,6.83,7.15
27.0,26-28,70.0,61-80,2,16.7,13.92,83.35,7.47,7.15
27.0,26-28,70.0,61-80,3,16.7,13.92,83.35,7.15,7.15
27.0,26-28,70.0,61-80,4,16.7,13.92,83.35,6.8,7.15
27.0,26-28,90.0,81-100,2,16.7,13.92,83.35,7.37,7.15
27.0,26-28,90.0,81-100,3,16.7,13.92,83.35,7.04,7.15
27.0,26-28,90.0,81-100,4,16.7,13.92,83.35,6.68,7.15
30.0,29-31,50.0,40-60,2,16.7,13.92,83.35,7.27,7.15
30.0,29-31,50.0,40-60,3,16.7,13.92,83.35,6.97,7.15
30.0,29-31,50.0,40-60,4,16.7,13.92,83.35,6.63,7.15
30.0,29-31,70.0,61-80,2,16.7,13.92,83.35,7.23,7.15
30.0,29-31,70.0,61-80,3,16.7,13.92,83.35,6.89,7.15
30.0,29-31,70.0,61-80,4,16.7,13.92,83.35,6.54,7.15
30.0,29-31,90.0,81-100,2,16.7,13.92,83.35,7.14,7.15
30.0,29-31,90.0,81-100,3,16.7,13.92,83.35,6.82,7.15
30.0,29-31,90.0,81-100,4,16.7,13.92,83.35,6.48,7.15
33.5,32-35,50.0,40-60,2,16.7,13.92,83.35,6.99,7.15
33.5,32-35,50.0,40-60,3,16.7,13.92,83.35,6.7,7.15
33.5,32-35,50.0,40-60,4,16.7,13.92,83.35,6.29,7.15
33.5,32-35,70.0,61-80,2,16.7,13.92,83.35,6.9,7.15
33.5,32-35,70.0,61-80,3,16.7,13.92,83.35,6.57,7.15
33.5,32-35,70.0,61-80,4,16.7,13.92,83.35,6.27,7.15
33.5,32-35,90.0,81-100,2,16.7,13.92,83.35,6.78,7.15
33.5,32-35,90.0,81-100,3,16.7,13.92,83.35,6.53,7.15
33.5,32-35,90.0,81-100,4,16.7,13.92,83.35,6.18,7.15
24.0,23-25,50.0,40-60,2,15.8,13.56,85.82,7.62,7.16
24.0,23-25,50.0,40-60,3,15.8,13.56,85.82,7.35,7.16
24.0,23-25,50.0,40-60,4,15.8,13.56,85.82,6.94,7.16
24.0,23-25,70.0,61-80,2,15.8,13.56,85.82,7.54,7.16
24.0,23-25,70.0,61-80,3,15.8,13.56,85.82,7.32,7.16
24.0,23-25,70.0,61-80,4,15.8,13.56,85.82,6.93,7.16
24.0,23-25,90.0,81-100,2,15.8,13.56,85.82,7.47,7.16
24.0,23-25,90.0,81-100,3,15.8,13.56,85.82,7.21,7.16
24.0,23-25,90.0,81-100,4,15.8,13.56,85.82,6.89,7.16
27.0,26-28,50.0,40-60,2,15.8,13.56,85.82,7.46,7.16
27.0,26-28,50.0,40-60,3,15.8,13.56,85.82,7.2,7.16
27.0,26-28,50.0,40-60,4,15.8,13.56,85.82,6.8,7.16
27.0,26-28,70.0,61-80,2,15.8,13.56,85.82,7.4,7.16
27.0,26-28,70.0,61-80,3,15.8,13.56,85.82,7.14,7.16
27.0,26-28,70.0,61-80,4,15.8,13.56,85.82,6.79,7.16
27.0,26-28,90.0,81-100,2,15.8,13.56,85.82,7.37,7.16
27.0,26-28,90.0,81-100,3,15.8,13.56,85.82,7.08,7.16
27.0,26-28,90.0,81-100,4,15.8,13.56,85.82,6.76,7.16
30.0,29-31,50.0,40-60,2,15.8,13.56,85.82,7.25,7.16
30.0,29-31,50.0,40-60,3,15.8,13.56,85.82,6.93,7.16
30.0,29-31,50.0,40-60,4,15.8,13.56,85.82,6.63,7.16
30.0,29-31,70.0,61-80,2,15.8,13.56,85.82,7.18,7.16
30.0,29-31,70.0,61-80,3,15.8,13.56,85.82,6.89,7.16
30.0,29-31,70.0,61-80,4,15.8,13.56,85.82,6.51,7.16
30.0,29-31,90.0,81-100,2,15.8,13.56,85.82,7.07,7.16
30.0,29-31,90.0,81-100,3,15.8,13.56,85.82,6.87,7.16
30.0,29-31,90.0,81-100,4,15.8,13.56,85.82,6.5,7.16
33.5,32-35,50.0,40-60,2,15.8,13.56,85.82,6.99,7.16
33.5,32-35,50.0,40-60,3,15.8,13.56,85.82,6.66,7.16
33.5,32-35,50.0,40-60,4,15.8,13.56,85.82,6.29,7.16
33.5,32-35,70.0,61-80,2,15.8,13.56,85.82,6.89,7.16
33.5,32-35,70.0,61-80,3,15.8,13.56,85.82,6.6,7.16
33.5,32-35,70.0,61-80,4,15.8,13.56,85.82,6.27,7.16
33.5,32-35,90.0,81-100,2,15.8,13.56,85.82,6.86,7.16
33.5,32-35,90.0,81-100,3,15.8,13.56,85.82,6.56,7.16
33.5,32-35,90.0,81-100,4,15.8,13.56,85.82,6.17,7.16
24.0,23-25,50.0,40-60,2,15.8,13.09,82.85,7.14,6.61
24.0,23-25,50.0,40-60,3,15.8,13.09,82.85,6.81,6.61
24.0,23-25,50.0,40-60,4,15.8,13.09,82.85,6.45,6.61
24.0,23-25,70.0,61-80,2,15.8,13.09,82.85,7.05,6.61
24.0,23-25,70.0,61-80,3,15.8,13.09,82.85,6.73,6.61
24.0,23-25,70.0,61-80,4,15.8,13.09,82.85,6.36,6.61
24.0,23-25,90.0,81-100,2,15.8,13.09,82.85,6.95,6.61
24.0,23-25,90.0,81-100,3,15.8,13.09,82.85,6.69,6.61
24.0,23-25,90.0,81-100,4,15.8,13.09,82.85,6.26,6.61
27.0,26-28,50.0,40-60,2,15.8,13.09,82.85,6.9,6.61
27.0,26-28,50.0,40-60,3,15.8,13.09,82.85,6.59,6.61
27.0,26-28,50.0,40-60,4,15.8,13.09,82.85,6.24,6.61
27.0,26-28,70.0,61-80,2,15.8,13.09,82.85,6.93,6.61
27.0,26-28,70.0,61-80,3,15.8,13.09,82.85,6.61,6.61
27.0,26-28,70.0,61-80,4,15.8,13.09,82.85,6.24,6.61
27.0,26-28,90.0,81-100,2,15.8,13.09,82.85,6.77,6.61
27.0,26-28,90.0,81-100,3,15.8,13.09,82.85,6.51,6.61
27.0,26-28,90.0,81-100,4,15.8,13.09,82.85,6.16,6.61
30.0,29-31,50.0,40-60,2,15.8,13.09,82.85,6.67,6.61
30.0,29-31,50.0,40-60,3,15.8,13.09,82.85,6.39,6.61
30.0,29-31,50.0,40-60,4,15.8,13.09,82.85,6.04,6.61
30.0,29-31,70.0,61-80,2,15.8,13.09,82.85,6.66,6.61
30.0,29-31,70.0,61-80,3,15.8,13.09,82.85,6.36,6.61
30.0,29-31,70.0,61-80,4,15.8,13.09,82.85,5.95,6.61
30.0,29-31,90.0,81-100,2,15.8,13.09,82.85,6.56,6.61
30.0,29-31,90.0,81-100,3,15.8,13.09,82.85,6.28,6.61
30.0,29-31,90.0,81-100,4,15.8,13.09,82.85,5.92,6.61
33.5,32-35,50.0,40-60,2,15.8,13.09,82.85,6.46,6.61
33.5,32-35,50.0,40-60,3,15.8,13.09,82.85,6.14,6.61
33.5,32-35,50.0,40-60,4,15.8,13.09,82.85,5.74,6.61
33.5,32-35,70.0,61-80,2,15.8,13.09,82.85,6.33,6.61
33.5,32-35,70.0,61-80,3,15.8,13.09,82.85,6.08,6.61
33.5,32-35,70.0,61-80,4,15.8,13.09,82.85,5.67,6.61
33.5,32-35,90.0,81-100,2,15.8,13.09,82.85,6.3,6.61
33.5,32-35,90.0,81-100,3,15.8,13.09,82.85,6.03,6.61
33.5,32-35,90.0,81-100,4,15.8,13.09,82.85,5.65,6.61
24.0,23-25,50.0,40-60,2,16.5,14.04,85.09,7.86,7.39
24.0,23-25,50.0,40-60,3,16.5,14.04,85.09,7.58,7.39
24.0,23-25,50.0,40-60,4,16.5,14.04,85.09,7.22,7.39
24.0,23-25,70.0,61-80,2,16.5,14.04,85.09,7.82,7.39
24.0,23-25,70.0,61-80,3,16.5,14.04,85.09,7.56,7.39
